fold,store_id,product_id,rows,actual_sales_total,baseline_wape,lightgbm_wape,baseline_bias,lightgbm_bias,extra_absolute_error
1,0,631,14,9.5,0.2682706766917293,0.23646395410284798,0.01959183673469389,0.0925324175685956,-0.3021638645943727
1,3,426,14,11.4,0.36466165413533835,0.3831783524525623,0.0704081632653061,0.07813277106607892,0.21109036081635324
1,18,634,14,11.4,0.37593984962406013,0.39072493287501414,0.1244897959183673,0.21179732228452516,0.16854994906087573
1,20,588,14,8.0,0.3678571428571429,0.3187902230537286,0.024489795918367366,0.10967319266521094,-0.39253535842731413
1,29,858,14,4.0,0.4785714285714286,0.6611063404600007,-0.04285714285714285,0.11282822415313754,0.7301396475542885
1,39,393,14,7.199999999999999,0.4047619047619048,0.4021886367525077,-0.014285714285714303,-0.10985493588858687,-0.018527529667659248
1,40,87,14,5.41,0.4919461315025085,0.5184954747081052,0.02051020408163265,0.06445046126843236,0.14363194674227842
1,41,775,14,32.2,0.274622892635315,0.3090880574018621,-0.16428571428571428,-0.29875353378859476,1.109778305482818
1,42,272,14,21.3,0.25754527162977864,0.40557730763818817,-0.2714285714285714,-0.5888286682849095,3.153082366979123
1,45,350,14,9.909999999999998,0.3600980250828889,0.3243682207322566,0.034897959183673444,-0.08042799791245503,-0.35408236111476654
1,49,740,14,7.3999999999999995,0.38610038610038605,0.34223751675082037,0.02244897959183673,-0.05430948831559578,-0.3245852331867862
1,56,600,14,8.3,0.3528399311531842,0.31042492478191464,-0.03571428571428571,-0.033678261542253174,-0.35204455288153724
1,60,379,14,21.5,0.29169435215946854,0.3921689225471975,-0.17857142857142858,-0.5472903000571976,2.1602032633361725
1,62,129,14,14.299999999999999,0.7792207792207794,0.7252651173917355,0.14489795918367346,0.17929548656073274,-0.771565964155327
1,72,393,14,5.299999999999999,0.34636118598382754,0.4212728164207093,0.04765306122448978,0.12665579353310052,0.3970316413154731
1,72,580,14,33.5,0.2375266524520256,0.11777926451015798,-0.019387755102040716,-0.18565510619028355,-4.011537496052565
1,75,434,14,8.0,0.31035714285714283,0.27405130777164444,0.031224489795918357,0.10880821777342788,-0.29044668068398716
1,81,194,14,5.68,0.3395372233400402,0.3213059029498617,-0.021428571428571404,-0.07184676543277459,-0.10355389981621399
1,81,686,14,5.4,0.48412698412698413,0.3946268640119053,-0.013265306122448972,-0.0027672707221879445,-0.48330064862142574
1,84,768,14,7.599999999999999,1.1879699248120303,0.8975805095779587,0.06530612244897968,-0.005711742085274569,-2.206959555778944
1,88,467,14,8.5,0.7546218487394958,0.8141883031210561,0.0030612244897959035,0.04908533733381563,0.5063148622432632
1,91,108,14,10.0,0.34,0.2822716178654209,0.03673469387755102,-0.05281454370458843,-0.5772838213457918
1,95,12,14,5.87,0.39936724263811146,0.42922637079611037,0.04316326530612243,0.09123759708450409,0.17527308228745353
1,100,193,14,9.000000000000002,0.29999999999999993,0.2650977437265071,0.03775510204081635,0.06287861503667157,-0.3141203064614362
1,104,118,14,12.0,0.3499999999999999,0.5017180915663945,0.07755102040816328,0.385397460996428,1.8206170987967347
